Name,pos,GP,height,weight,minutes,points,oRebounds,dRebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade
Cory Alexander,G,307,73,185,15.7882736156352,5.46254071661238,0.254071661237785,1.31270358306189,2.71661237785016,0.856677524429967,0.120521172638436,1.52117263843648,1.6742671009772,4.91205211726384,1.91205211726384,1.14657980456026,0.866449511400652,2.17915309446254,0.771986970684039
Courtney Alexander,G,187,77,205,21.7486631016043,9.03743315508021,0.663101604278075,1.52406417112299,1.21390374331551,0.593582887700535,0.0962566844919786,1.0855614973262,2.01604278074866,8.29946524064171,3.50267379679144,2.22994652406417,1.81283422459893,0.647058823529412,0.219251336898396
Victor Alexander,C-F,286,81,265,20.1223776223776,8.88811188811189,1.55944055944056,3.27972027972028,0.898601398601399,0.472027972027972,0.618881118881119,1.32167832167832,2.49300699300699,7.43356643356643,3.84965034965035,1.77622377622378,1.12587412587413,0.22027972027972,0.0629370629370629
Jerome Allen,G,117,76,184,11.1538461538462,2.87179487179487,0.256410256410256,0.794871794871795,1.71794871794872,0.444444444444444,0.0769230769230769,0.88034188034188,1.07692307692308,2.78632478632479,0.974358974358974,0.923076923076923,0.581196581196581,1.07692307692308,0.341880341880342
Malik Allen,F,478,82,255,15.1945606694561,4.88284518828452,0.97489539748954,1.85564853556485,0.476987447698745,0.271966527196653,0.460251046025105,0.669456066945607,1.8765690376569,4.94560669456067,2.17364016736402,0.679916317991632,0.52928870292887,0.0355648535564854,0.00627615062761506
Ray Allen,G,1148,77,205,36.9033101045296,19.9834494773519,1.01655052264808,3.2081881533101,3.55662020905923,1.15853658536585,0.192508710801394,2.19686411149826,2.27700348432056,15.4721254355401,6.99912891986063,4.04703832752613,3.61759581881533,5.91289198606272,2.36759581881533
Tony Allen,G,466,76,213,19.7789699570815,7.79828326180257,0.918454935622318,1.86909871244635,1.33476394849785,1.25321888412017,0.416309012875536,1.39699570815451,2.24678111587983,5.97639484978541,2.87982832618026,2.5450643776824,1.89484978540773,0.506437768240343,0.143776824034335
Derrick Alston,F,139,83,225,19.1151079136691,5.40287769784173,1.64028776978417,2.13669064748201,0.676258992805755,0.683453237410072,0.62589928057554,0.805755395683453,2.14388489208633,4.67625899280576,2.28776978417266,1.68345323741007,0.820143884892086,0.0503597122302158,0.00719424460431655
Rafer Alston,G,671,74,171,28.8986587183309,10.1326378539493,0.368107302533532,2.45007451564829,4.77198211624441,1.21162444113264,0.156482861400894,1.78092399403875,2.09836065573771,9.52459016393443,3.65126676602086,1.84500745156483,1.34575260804769,4.19523099850969,1.48435171385991
John Amaechi,C-F,294,81,270,16.3639455782313,6.24829931972789,0.782312925170068,1.84353741496599,0.775510204081633,0.306122448979592,0.319727891156463,1.31292517006803,1.69727891156463,5.59863945578231,2.25510204081633,2.58503401360544,1.73469387755102,0.0442176870748299,0.00340136054421769
Al-Farouq Aminu,F,147,81,215,19.9251700680272,5.82312925170068,1.15646258503401,2.75510204081633,0.857142857142857,0.802721088435374,0.401360544217687,1.31972789115646,1.74829931972789,5.24489795918367,2.10884353741497,1.58503401360544,1.2108843537415,1.29251700680272,0.394557823129252
Louis Amundson,F,288,81,225,13.2083333333333,3.95486111111111,1.56597222222222,2.125,0.315972222222222,0.34375,0.777777777777778,0.65625,1.95486111111111,3.28819444444444,1.63888888888889,1.48958333333333,0.677083333333333,0.00694444444444444,0
Chris Andersen,F-C,482,82,220,17.8526970954357,5.43153526970954,1.80290456431535,3.41286307053942,0.5,0.452282157676349,1.5954356846473,0.79253112033195,1.9792531120332,3.76141078838174,1.91078838174274,2.50207468879668,1.60580912863071,0.0477178423236514,0.004149377593361
David Andersen,C,103,83,245,12.2718446601942,4.86407766990291,0.718446601941748,2.11650485436893,0.553398058252427,0.194174757281553,0.203883495145631,0.572815533980582,1.54368932038835,4.47572815533981,1.97087378640777,0.864077669902913,0.58252427184466,0.980582524271845,0.339805825242718
Derek Anderson,G,615,76,194,29.2211382113821,11.9626016260163,0.715447154471545,2.51707317073171,3.3869918699187,1.12357723577236,0.141463414634146,1.71056910569106,2,9.62926829268293,3.93333333333333,3.5739837398374,3.04715447154472,3.07479674796748,1.04878048780488
Greg Anderson,F-C,456,82,230,18.3421052631579,5.13157894736842,1.98245614035088,3.90350877192982,0.484649122807018,0.640350877192982,0.684210526315789,1.1469298245614,2.44736842105263,4.35964912280702,2.08991228070175,1.68201754385965,0.949561403508772,0.0328947368421053,0.00219298245614035
Kenny Anderson,G,858,72,168,30.1491841491841,12.5745920745921,0.780885780885781,2.2972027972028,6.05594405594406,1.46620046620047,0.129370629370629,2.06177156177156,2.3006993006993,11.0862470862471,4.66433566433566,3.3018648018648,2.60839160839161,1.84149184149184,0.637529137529138
Nick Anderson,F-G,719,78,205,32.1794158553547,14.739916550765,1.25730180806676,3.95549374130737,2.73018080667594,1.45340751043115,0.458970792767733,1.69680111265647,1.89429763560501,12.7093184979138,5.62447844228095,3.05563282336579,2.0250347705146,4.09874826147427,1.46592489568846
Ron Anderson,F-G,254,79,215,25.1614173228346,11.7244094488189,1.09055118110236,2.38188976377953,1.41732283464567,0.748031496062992,0.125984251968504,1.11023622047244,1.50393700787402,10.6023622047244,4.88582677165354,1.86220472440945,1.57086614173228,1.24409448818898,0.381889763779528
Ryan Anderson,F,254,82,240,22.0866141732283,10.3740157480315,2.0748031496063,3.19685039370079,0.767716535433071,0.586614173228346,0.385826771653543,0.885826771653543,2.0511811023622,8.17716535433071,3.49212598425197,1.91338582677165,1.62992125984252,4.57874015748031,1.75984251968504
Shandon Anderson,F-G,719,78,208,22.1780250347705,7.40890125173853,0.810848400556328,2.32127955493741,1.40055632823366,0.773296244784423,0.250347705146036,1.33240611961057,1.99860917941586,6.07232267037552,2.77607788595271,1.93602225312935,1.4297635605007,1.3518776077886,0.426981919332406
Willie Anderson,G-F,392,79,190,26.6530612244898,10.140306122449,0.721938775510204,2.5765306122449,3.49234693877551,0.849489795918367,0.566326530612245,1.79591836734694,2.43112244897959,9.14540816326531,4.16326530612245,1.97448979591837,1.58928571428571,0.829081632653061,0.224489795918367
Chris Anstey,C,155,84,249,13.9161290322581,5.24516129032258,1.14838709677419,2.29677419354839,0.819354838709677,0.503225806451613,0.419354838709677,0.948387096774194,2.40645161290323,4.73548387096774,1.95483870967742,1.73548387096774,1.30967741935484,0.187096774193548,0.0258064516129032
Carmelo Anthony,F,646,80,220,36.1826625386997,24.6532507739938,1.90557275541796,4.42879256965944,3.11145510835913,1.11764705882353,0.461300309597523,2.9922600619195,3.0015479876161,19.2538699690402,8.78792569659443,7.76625386996904,6.25541795665635,2.55108359133127,0.821981424148607
