Number	Timestamp	Windspeed
##  1	ARLENE	M = 11	SNBR = 1096
1	06-May-1981 18:00:00	35
1	07-May-1981 00:00:00	35
1	07-May-1981 06:00:00	35
1	07-May-1981 12:00:00	40
1	07-May-1981 18:00:00	46
1	08-May-1981 00:00:00	52
1	08-May-1981 06:00:00	35
1	08-May-1981 12:00:00	35
1	08-May-1981 18:00:00	58
1	09-May-1981 00:00:00	35
1	09-May-1981 06:00:00	29
##  2	BRET	M = 9	SNBR = 1097
2	29-Jun-1981 12:00:00	40
2	29-Jun-1981 18:00:00	52
2	30-Jun-1981 00:00:00	63
2	30-Jun-1981 06:00:00	69
2	30-Jun-1981 12:00:00	69
2	30-Jun-1981 18:00:00	69
2	01-Jul-1981 00:00:00	58
2	01-Jul-1981 06:00:00	35
2	01-Jul-1981 12:00:00	23
##  3	CINDY	M = 12	SNBR = 1098
3	02-Aug-1981 18:00:00	35
3	03-Aug-1981 00:00:00	35
3	03-Aug-1981 06:00:00	35
3	03-Aug-1981 12:00:00	35
3	03-Aug-1981 18:00:00	46
3	04-Aug-1981 00:00:00	58
3	04-Aug-1981 06:00:00	58
3	04-Aug-1981 12:00:00	58
3	04-Aug-1981 18:00:00	58
3	05-Aug-1981 00:00:00	52
3	05-Aug-1981 06:00:00	46
3	05-Aug-1981 12:00:00	35
##  4	DENNIS	M = 60	SNBR = 1099
4	07-Aug-1981 06:00:00	35
4	07-Aug-1981 12:00:00	35
4	07-Aug-1981 18:00:00	35
4	08-Aug-1981 00:00:00	40
4	08-Aug-1981 06:00:00	40
4	08-Aug-1981 12:00:00	40
4	08-Aug-1981 18:00:00	46
4	09-Aug-1981 00:00:00	46
4	09-Aug-1981 06:00:00	46
4	09-Aug-1981 12:00:00	46
4	09-Aug-1981 18:00:00	46
4	10-Aug-1981 00:00:00	46
4	10-Aug-1981 06:00:00	46
4	10-Aug-1981 12:00:00	46
4	10-Aug-1981 18:00:00	40
4	11-Aug-1981 00:00:00	35
4	11-Aug-1981 06:00:00	35
4	11-Aug-1981 12:00:00	35
4	11-Aug-1981 18:00:00	35
4	12-Aug-1981 00:00:00	29
4	12-Aug-1981 06:00:00	29
4	12-Aug-1981 12:00:00	29
4	12-Aug-1981 18:00:00	29
4	13-Aug-1981 00:00:00	17
4	13-Aug-1981 06:00:00	17
4	13-Aug-1981 12:00:00	17
4	13-Aug-1981 18:00:00	17
4	14-Aug-1981 00:00:00	17
4	14-Aug-1981 06:00:00	17
4	14-Aug-1981 12:00:00	17
4	14-Aug-1981 18:00:00	17
4	15-Aug-1981 00:00:00	17
4	15-Aug-1981 06:00:00	17
4	15-Aug-1981 12:00:00	17
4	15-Aug-1981 18:00:00	35
4	16-Aug-1981 00:00:00	40
4	16-Aug-1981 06:00:00	40
4	16-Aug-1981 12:00:00	40
4	16-Aug-1981 18:00:00	40
4	17-Aug-1981 00:00:00	40
4	17-Aug-1981 06:00:00	40
4	17-Aug-1981 12:00:00	40
4	17-Aug-1981 18:00:00	40
4	18-Aug-1981 00:00:00	40
4	18-Aug-1981 06:00:00	40
4	18-Aug-1981 12:00:00	40
4	18-Aug-1981 18:00:00	40
4	19-Aug-1981 00:00:00	40
4	19-Aug-1981 06:00:00	46
4	19-Aug-1981 12:00:00	46
4	19-Aug-1981 18:00:00	52
4	20-Aug-1981 00:00:00	58
4	20-Aug-1981 06:00:00	63
4	20-Aug-1981 12:00:00	69
4	20-Aug-1981 18:00:00	75
4	21-Aug-1981 00:00:00	81
4	21-Aug-1981 06:00:00	63
4	21-Aug-1981 12:00:00	52
4	21-Aug-1981 18:00:00	46
4	22-Aug-1981 00:00:00	40
